movie_title_imdb,Released_Year,Genre,IMDB_Rating,Meta_score,platform_imdb,movie_title_rt,tomatometer_rating,audience_rating,platform_rt,Gross_imdb
,,,,,,Divided We Fall,90.0,91.0,Rotten Tomatoes,
,,,,,,Divine Secrets of the Ya-Ya Sisterhood,45.0,65.0,Rotten Tomatoes,
,,,,,,Divines,84.0,74.0,Rotten Tomatoes,
,,,,,,Divorce American Style,100.0,56.0,Rotten Tomatoes,
,,,,,,Dixie Chicks - Shut Up and Sing,89.0,86.0,Rotten Tomatoes,
,,,,,,Dixieland,10.0,40.0,Rotten Tomatoes,
,,,,,,Django,92.0,84.0,Rotten Tomatoes,
,,,,,,Django,58.0,79.0,Rotten Tomatoes,
Django Unchained,2012,"Drama, Western",84.0,81.0,IMDb,Django Unchained,87.0,91.0,Rotten Tomatoes,162805434.0
,,,,,,Do I Sound Gay?,81.0,47.0,Rotten Tomatoes,
,,,,,,Do Knot Disturb,20.0,22.0,Rotten Tomatoes,
Do lok tin si,1995,"Comedy, Crime, Drama",77.0,71.0,IMDb,,,,,23530892.0
,,,,,,Do Not Resist,91.0,62.0,Rotten Tomatoes,
Do the Right Thing,1989,"Comedy, Drama",80.0,93.0,IMDb,Do the Right Thing,93.0,90.0,Rotten Tomatoes,27545445.0
,,,,,,Do You Believe?,25.0,83.0,Rotten Tomatoes,
,,,,,,Do You Trust this Computer?,71.0,94.0,Rotten Tomatoes,
,,,,,,DOA: Dead or Alive,33.0,36.0,Rotten Tomatoes,
,,,,,,Doc Holliday,40.0,47.0,Rotten Tomatoes,
,,,,,,Doc Hollywood,68.0,50.0,Rotten Tomatoes,
,,,,,,Doctor Dolittle,29.0,57.0,Rotten Tomatoes,
,,,,,,Doctor Faustus,10.0,30.0,Rotten Tomatoes,
,,,,,,Doctor Strange,89.0,86.0,Rotten Tomatoes,
Doctor Zhivago,1965,"Drama, Romance, War",80.0,69.0,IMDb,Doctor Zhivago,84.0,88.0,Rotten Tomatoes,111722000.0
,,,,,,Dodge City,100.0,74.0,Rotten Tomatoes,
,,,,,,Dodgeball - A True Underdog Story,71.0,76.0,Rotten Tomatoes,
,,,,,,Dodsworth,90.0,86.0,Rotten Tomatoes,
Dog Day Afternoon,1975,"Biography, Crime, Drama",80.0,86.0,IMDb,Dog Day Afternoon,96.0,90.0,Rotten Tomatoes,50000000.0
,,,,,,Dog Days,63.0,76.0,Rotten Tomatoes,
,,,,,,Dog Eat Dog,50.0,18.0,Rotten Tomatoes,
,,,,,,Dog Park,36.0,28.0,Rotten Tomatoes,
,,,,,,Dog Pound,65.0,69.0,Rotten Tomatoes,
,,,,,,Dog Soldiers,79.0,79.0,Rotten Tomatoes,
,,,,,,Dogfight,78.0,87.0,Rotten Tomatoes,
,,,,,,Doghouse,48.0,46.0,Rotten Tomatoes,
,,,,,,Dogtooth (Kynodontas),93.0,76.0,Rotten Tomatoes,
,,,,,,Dogtown and Z-Boys,92.0,88.0,Rotten Tomatoes,
Dogville,2003,"Crime, Drama",80.0,60.0,IMDb,Dogville,70.0,89.0,Rotten Tomatoes,1530386.0
,,,,,,"Doin' It in the Park: Pick-Up Basketball, NYC",75.0,69.0,Rotten Tomatoes,
,,,,,,Dolemite,57.0,67.0,Rotten Tomatoes,
,,,,,,Dolemite Is My Name,97.0,91.0,Rotten Tomatoes,
,,,,,,Dolittle,14.0,76.0,Rotten Tomatoes,
,,,,,,Dollars: The Heist),86.0,51.0,Rotten Tomatoes,
,,,,,,Dolls,60.0,51.0,Rotten Tomatoes,
,,,,,,Dolly Parton's Coat of Many Colors,78.0,68.0,Rotten Tomatoes,
,,,,,,Dolores Claiborne,84.0,81.0,Rotten Tomatoes,
,,,,,,Dolphin Tale,81.0,80.0,Rotten Tomatoes,
,,,,,,Dolphin Tale 2,66.0,72.0,Rotten Tomatoes,
,,,,,,Dolphins,89.0,65.0,Rotten Tomatoes,
,,,,,,Dom Hemingway,56.0,38.0,Rotten Tomatoes,
Dom za vesanje,1988,"Comedy, Crime, Drama",82.0,79.0,IMDb,,,,,280015.0
,,,,,,Domain,67.0,53.0,Rotten Tomatoes,
,,,,,,Domestic Disturbance,24.0,37.0,Rotten Tomatoes,
,,,,,,Dominick Dunne: After the Party,86.0,93.0,Rotten Tomatoes,
,,,,,,Dominion: Prequel to the Exorcist,30.0,25.0,Rotten Tomatoes,
,,,,,,Domino,18.0,56.0,Rotten Tomatoes,
,,,,,,Domino,33.0,18.0,Rotten Tomatoes,
,,,,,,Don 2,69.0,72.0,Rotten Tomatoes,
,,,,,,Don Jon,79.0,58.0,Rotten Tomatoes,
,,,,,,Don Juan DeMarco,69.0,68.0,Rotten Tomatoes,
,,,,,,Don McKay,38.0,23.0,Rotten Tomatoes,
,,,,,,Don Peyote,7.0,29.0,Rotten Tomatoes,
,,,,,,Don Quixote,43.0,40.0,Rotten Tomatoes,
,,,,,,Don Verdean,29.0,23.0,Rotten Tomatoes,
,,,,,,Don't Ask Don't Tell,36.0,25.0,Rotten Tomatoes,
,,,,,,Don't Be a Menace to South Central While Drinking Your Juice in The Hood,31.0,80.0,Rotten Tomatoes,
,,,,,,Don't Be Afraid of the Dark,71.0,57.0,Rotten Tomatoes,
,,,,,,Don't Be Afraid Of The Dark,60.0,34.0,Rotten Tomatoes,
,,,,,,Don't Be Nice,100.0,86.0,Rotten Tomatoes,
,,,,,,Don't Bother to Knock,100.0,76.0,Rotten Tomatoes,
,,,,,,Don't Breathe,88.0,78.0,Rotten Tomatoes,
,,,,,,Don't Call Me Son (Mãe Só Há Uma),83.0,64.0,Rotten Tomatoes,
,,,,,,Don't Come Back from the Moon,88.0,71.0,Rotten Tomatoes,
,,,,,,Don't Come Knocking,43.0,60.0,Rotten Tomatoes,
,,,,,,Don't Go,39.0,25.0,Rotten Tomatoes,
,,,,,,Don't Go in the House,40.0,33.0,Rotten Tomatoes,
,,,,,,Don't Hang Up,25.0,31.0,Rotten Tomatoes,
,,,,,,Don't Kill It,93.0,38.0,Rotten Tomatoes,
,,,,,,Don't Knock Twice,24.0,21.0,Rotten Tomatoes,
,,,,,,Don't Leave Home,74.0,22.0,Rotten Tomatoes,
,,,,,,Don't Let Go (Relive),42.0,79.0,Rotten Tomatoes,
,,,,,,Don't Look Now,95.0,76.0,Rotten Tomatoes,
,,,,,,Don't Say a Word,24.0,49.0,Rotten Tomatoes,
,,,,,,Don't Sleep,9.0,21.0,Rotten Tomatoes,
,,,,,,Don't Stop Believin': Everyman's Journey,64.0,72.0,Rotten Tomatoes,
,,,,,,Don't Tell Mom the Babysitter's Dead,33.0,56.0,Rotten Tomatoes,
,,,,,,Don't Think Twice,98.0,69.0,Rotten Tomatoes,
,,,,,,Don't Torture a Duckling,83.0,77.0,Rotten Tomatoes,
,,,,,,Don't Trip...He Ain't Through with Me Yet,45.0,73.0,Rotten Tomatoes,
,,,,,,"Don't Worry, He Won't Get Far on Foot",76.0,75.0,Rotten Tomatoes,
,,,,,,Donkey Punch,52.0,24.0,Rotten Tomatoes,
,,,,,,Donne-moi la main (Give Me Your Hand),36.0,29.0,Rotten Tomatoes,
Donnie Brasco,1997,"Biography, Crime, Drama",77.0,76.0,IMDb,Donnie Brasco,88.0,89.0,Rotten Tomatoes,41909762.0
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",80.0,88.0,IMDb,Donnie Darko,86.0,80.0,Rotten Tomatoes,1480006.0
,,,,,,Donnybrook,39.0,35.0,Rotten Tomatoes,
,,,,,,Donovan's Echo,33.0,43.0,Rotten Tomatoes,
,,,,,,Donovan's Reef,55.0,76.0,Rotten Tomatoes,
,,,,,,Dont Look Back,100.0,92.0,Rotten Tomatoes,
,,,,,,Doogal,8.0,22.0,Rotten Tomatoes,
,,,,,,Doom,19.0,34.0,Rotten Tomatoes,
,,,,,,Doom: Annihilation,43.0,16.0,Rotten Tomatoes,
,,,,,,Doomsday,51.0,44.0,Rotten Tomatoes,
,,,,,,Doomsday Book,80.0,54.0,Rotten Tomatoes,
,,,,,,Door to Door,60.0,83.0,Rotten Tomatoes,
,,,,,,Dopamine,52.0,53.0,Rotten Tomatoes,
,,,,,,Dope,89.0,83.0,Rotten Tomatoes,
,,,,,,Dora and the Lost City of Gold,85.0,88.0,Rotten Tomatoes,
,,,,,,Dorfman in Love,21.0,51.0,Rotten Tomatoes,
,,,,,,Dorian Gray,44.0,39.0,Rotten Tomatoes,
,,,,,,Dormant Beauty,80.0,39.0,Rotten Tomatoes,
,,,,,,Dostana,87.0,68.0,Rotten Tomatoes,
,,,,,,Dot the I,25.0,76.0,Rotten Tomatoes,
,,,,,,Double Dare,97.0,79.0,Rotten Tomatoes,
,,,,,,Double Dragon,13.0,26.0,Rotten Tomatoes,
,,,,,,Double Impact,35.0,42.0,Rotten Tomatoes,
Double Indemnity,1944,"Crime, Drama, Film-Noir",83.0,95.0,IMDb,Double Indemnity,97.0,95.0,Rotten Tomatoes,5720000.0
,,,,,,Double Jeopardy,27.0,61.0,Rotten Tomatoes,
,,,,,,Double Lover (L'amant double),70.0,49.0,Rotten Tomatoes,
,,,,,,Double Take,12.0,50.0,Rotten Tomatoes,
,,,,,,Double Team,11.0,25.0,Rotten Tomatoes,
,,,,,,Double Vision,60.0,44.0,Rotten Tomatoes,
,,,,,,Double Whammy,36.0,29.0,Rotten Tomatoes,
,,,,,,Doubt,80.0,78.0,Rotten Tomatoes,
,,,,,,Doug's 1st Movie,26.0,28.0,Rotten Tomatoes,
,,,,,,Dovlatov,80.0,60.0,Rotten Tomatoes,
,,,,,,Down (The Shaft),20.0,18.0,Rotten Tomatoes,
,,,,,,Down a Dark Hall,50.0,21.0,Rotten Tomatoes,
,,,,,,Down And Dangerous,60.0,26.0,Rotten Tomatoes,
,,,,,,Down and Derby,22.0,51.0,Rotten Tomatoes,
,,,,,,Down and Out in Beverly Hills,79.0,52.0,Rotten Tomatoes,
Down by Law,1986,"Comedy, Crime, Drama",78.0,75.0,IMDb,Down by Law,87.0,94.0,Rotten Tomatoes,1436000.0
,,,,,,Down in the Delta,79.0,70.0,Rotten Tomatoes,
,,,,,,Down in the Valley,52.0,53.0,Rotten Tomatoes,
,,,,,,Down Periscope,12.0,62.0,Rotten Tomatoes,
,,,,,,Down Terrace,86.0,61.0,Rotten Tomatoes,
,,,,,,Down the Shore,45.0,36.0,Rotten Tomatoes,
,,,,,,Down to Earth,20.0,40.0,Rotten Tomatoes,
,,,,,,Down to the Bone,94.0,71.0,Rotten Tomatoes,
,,,,,,Down to You,3.0,49.0,Rotten Tomatoes,
,,,,,,Down With Love,60.0,62.0,Rotten Tomatoes,
,,,,,,Downfall (Der Untergang),90.0,94.0,Rotten Tomatoes,
,,,,,,Downhill Racer,85.0,59.0,Rotten Tomatoes,
,,,,,,Downriver,90.0,55.0,Rotten Tomatoes,
,,,,,,Downsizing,46.0,23.0,Rotten Tomatoes,
,,,,,,Downton Abbey,84.0,94.0,Rotten Tomatoes,
,,,,,,Downtown 81,79.0,73.0,Rotten Tomatoes,
,,,,,,Dr Seuss' The Lorax,54.0,63.0,Rotten Tomatoes,
,,,,,,Dr. Bronner's Magic Soapbox,86.0,62.0,Rotten Tomatoes,
,,,,,,Dr. Cyclops,77.0,56.0,Rotten Tomatoes,
,,,,,,Dr. Dolittle,42.0,35.0,Rotten Tomatoes,
,,,,,,Dr. Dolittle 2,42.0,26.0,Rotten Tomatoes,
,,,,,,Dr. Feelgood: Dealer or Healer?,83.0,48.0,Rotten Tomatoes,
,,,,,,Dr. Giggles,17.0,41.0,Rotten Tomatoes,
,,,,,,Dr. Goldfoot and the Bikini Machine,29.0,43.0,Rotten Tomatoes,
,,,,,,Dr. Jekyll and Mr. Hyde,90.0,80.0,Rotten Tomatoes,
,,,,,,Dr. Jekyll and Sister Hyde,80.0,63.0,Rotten Tomatoes,
,,,,,,"Dr. Mabuse the Gambler (Dr. Mabuse, der Spieler - Ein Bild der Zeit) (Dr. Mabuse, King of Crime)",94.0,87.0,Rotten Tomatoes,
,,,,,,Dr. No,95.0,82.0,Rotten Tomatoes,
,,,,,,Dr. Phibes Rises Again,59.0,57.0,Rotten Tomatoes,
,,,,,,Dr. Seuss' Horton Hears a Who!,79.0,73.0,Rotten Tomatoes,
,,,,,,Dr. Seuss' How the Grinch Stole Christmas,49.0,56.0,Rotten Tomatoes,
,,,,,,Dr. Seuss' The Cat in the Hat,9.0,51.0,Rotten Tomatoes,
,,,,,,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,98.0,94.0,Rotten Tomatoes,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,84.0,97.0,IMDb,,,,,275902.0
,,,,,,Dr. T and the Women,57.0,20.0,Rotten Tomatoes,
,,,,,,Dr. Who and the Daleks,42.0,41.0,Rotten Tomatoes,
,,,,,,Dracula,92.0,81.0,Rotten Tomatoes,
,,,,,,Dracula,60.0,43.0,Rotten Tomatoes,
,,,,,,Dracula,59.0,58.0,Rotten Tomatoes,
,,,,,,Dracula - Dead and Loving It,11.0,49.0,Rotten Tomatoes,
,,,,,,Dracula 2000,17.0,39.0,Rotten Tomatoes,
,,,,,,Dracula A.D. 1972,22.0,40.0,Rotten Tomatoes,
,,,,,,Dracula Has Risen From the Grave,80.0,60.0,Rotten Tomatoes,
,,,,,,Dracula II: Ascension,0.0,30.0,Rotten Tomatoes,
,,,,,,Dracula Untold,24.0,58.0,Rotten Tomatoes,
,,,,,,Dracula's Daughter,55.0,41.0,Rotten Tomatoes,
,,,,,,Draft Day,59.0,65.0,Rotten Tomatoes,
,,,,,,Drag Me to Hell,92.0,62.0,Rotten Tomatoes,
,,,,,,Dragged Across Concrete,76.0,68.0,Rotten Tomatoes,
,,,,,,Dragnet,51.0,41.0,Rotten Tomatoes,
,,,,,,Dragon and the Hawk,0.0,63.0,Rotten Tomatoes,
,,,,,,Dragon Ball Super: Broly,82.0,92.0,Rotten Tomatoes,
,,,,,,Dragon Ball Z: Battle Of Gods,88.0,80.0,Rotten Tomatoes,
,,,,,,Dragon Ball Z: Resurrection 'F',83.0,84.0,Rotten Tomatoes,
,,,,,,Dragon Blade (Tian jiang xiong shi),36.0,39.0,Rotten Tomatoes,
,,,,,,Dragon Wars,30.0,19.0,Rotten Tomatoes,
,,,,,,Dragon: The Bruce Lee Story,71.0,79.0,Rotten Tomatoes,
,,,,,,Dragonball Evolution,15.0,20.0,Rotten Tomatoes,
,,,,,,Dragonheart,50.0,60.0,Rotten Tomatoes,
,,,,,,Dragonheart - A New Beginning,40.0,35.0,Rotten Tomatoes,
,,,,,,Dragonslayer,84.0,62.0,Rotten Tomatoes,
,,,,,,Dragonslayer,90.0,61.0,Rotten Tomatoes,
,,,,,,Dreadnaught,60.0,85.0,Rotten Tomatoes,
,,,,,,Dream a Little Dream,0.0,67.0,Rotten Tomatoes,
,,,,,,Dream Big: Engineering Our World,100.0,66.0,Rotten Tomatoes,
,,,,,,Dream for an Insomniac,50.0,75.0,Rotten Tomatoes,
,,,,,,Dream Home,76.0,60.0,Rotten Tomatoes,
,,,,,,Dream House,6.0,36.0,Rotten Tomatoes,
,,,,,,Dream Lover,57.0,40.0,Rotten Tomatoes,
,,,,,,Dreamcatcher,28.0,35.0,Rotten Tomatoes,
,,,,,,Dreamer: Inspired by a True Story,64.0,78.0,Rotten Tomatoes,
,,,,,,Dreamgirls,78.0,71.0,Rotten Tomatoes,
,,,,,,Dreaming of Joseph Lees,36.0,54.0,Rotten Tomatoes,
,,,,,,Dreamland,67.0,65.0,Rotten Tomatoes,
,,,,,,Dreamland,48.0,63.0,Rotten Tomatoes,
,,,,,,Dreams,65.0,86.0,Rotten Tomatoes,
,,,,,,Dreams of a Life,77.0,65.0,Rotten Tomatoes,
,,,,,,Dreams Rewired,75.0,45.0,Rotten Tomatoes,
,,,,,,Dreams With Sharp Teeth,100.0,85.0,Rotten Tomatoes,
,,,,,,Dreamscape,77.0,46.0,Rotten Tomatoes,
,,,,,,Dredd,79.0,72.0,Rotten Tomatoes,
,,,,,,Dressed to Kill,80.0,74.0,Rotten Tomatoes,
,,,,,,Drew: The Man Behind The Poster,50.0,71.0,Rotten Tomatoes,
,,,,,,Drift,32.0,56.0,Rotten Tomatoes,
,,,,,,Drifter,42.0,12.0,Rotten Tomatoes,
,,,,,,Drillbit Taylor,25.0,44.0,Rotten Tomatoes,
,,,,,,Drinking Buddies,83.0,49.0,Rotten Tomatoes,
Drishyam,2013,"Crime, Drama, Thriller",83.0,79.0,IMDb,,,,,23530892.0
Drishyam,2015,"Crime, Drama, Mystery",82.0,79.0,IMDb,,,,,739478.0
Drive,2011,"Crime, Drama",78.0,78.0,IMDb,Drive,92.0,79.0,Rotten Tomatoes,35061555.0
Drive,2011,"Crime, Drama",78.0,78.0,IMDb,Drive,0.0,17.0,Rotten Tomatoes,35061555.0
,,,,,,Drive Angry,47.0,37.0,Rotten Tomatoes,
,,,,,,Drive Hard,8.0,12.0,Rotten Tomatoes,
,,,,,,Drive Me Crazy,28.0,53.0,Rotten Tomatoes,
,,,,,,"Drive, He Said",62.0,23.0,Rotten Tomatoes,
,,,,,,Driven,14.0,33.0,Rotten Tomatoes,
,,,,,,Driven,63.0,67.0,Rotten Tomatoes,
,,,,,,Driven,71.0,86.0,Rotten Tomatoes,
,,,,,,DriverX,44.0,87.0,Rotten Tomatoes,
,,,,,,Driveways,100.0,89.0,Rotten Tomatoes,
,,,,,,Driving Lessons,48.0,71.0,Rotten Tomatoes,
,,,,,,Drone,27.0,25.0,Rotten Tomatoes,
,,,,,,Drones,33.0,29.0,Rotten Tomatoes,
,,,,,,Drop Dead Fred,11.0,77.0,Rotten Tomatoes,
,,,,,,Drop Dead Gorgeous,45.0,75.0,Rotten Tomatoes,
,,,,,,Drop Zone,41.0,32.0,Rotten Tomatoes,
,,,,,,Drowning Mona,29.0,46.0,Rotten Tomatoes,
,,,,,,Drug Lord: The Legend Of Shorty,63.0,43.0,Rotten Tomatoes,
,,,,,,Drug War,94.0,77.0,Rotten Tomatoes,
,,,,,,Drugstore Cowboy,100.0,85.0,Rotten Tomatoes,
Druk,2020,"Comedy, Drama",78.0,81.0,IMDb,,,,,23530892.0
,,,,,,Drumline,82.0,70.0,Rotten Tomatoes,
,,,,,,Drums Along the Mohawk,82.0,60.0,Rotten Tomatoes,
,,,,,,Drunk Parents,0.0,16.0,Rotten Tomatoes,
,,,,,,Drunk Stoned Brilliant Dead: The Story of the National Lampoon,88.0,68.0,Rotten Tomatoes,
,,,,,,Drunkboat,23.0,23.0,Rotten Tomatoes,
,,,,,,Drunken Master (Jui kuen),79.0,85.0,Rotten Tomatoes,
,,,,,,Drunks,57.0,44.0,Rotten Tomatoes,
,,,,,,DTF,67.0,50.0,Rotten Tomatoes,
Du rififi chez les hommes,1955,"Crime, Drama, Thriller",82.0,97.0,IMDb,,,,,57226.0
,,,,,,Duane Hopwood,55.0,60.0,Rotten Tomatoes,
,,,,,,Duck,50.0,45.0,Rotten Tomatoes,
,,,,,,Duck Butter,57.0,42.0,Rotten Tomatoes,
,,,,,,Duck Season (Temporada de patos),91.0,78.0,Rotten Tomatoes,
Duck Soup,1933,"Comedy, Musical, War",78.0,93.0,IMDb,Duck Soup,92.0,91.0,Rotten Tomatoes,23530892.0
,,,,,,"Duck, You Sucker (A Fistful of Dynamite) (Giù la testa)",92.0,83.0,Rotten Tomatoes,
,,,,,,DuckTales: The Movie - Treasure of the Lost Lamp,88.0,69.0,Rotten Tomatoes,
,,,,,,Dude Bro Party Massacre III,90.0,77.0,Rotten Tomatoes,
,,,,,,"Dude, Where's My Car?",17.0,47.0,Rotten Tomatoes,
,,,,,,Dudley Do-Right,16.0,23.0,Rotten Tomatoes,
,,,,,,Due Date,39.0,52.0,Rotten Tomatoes,
,,,,,,Duel,88.0,84.0,Rotten Tomatoes,
,,,,,,Duets,21.0,48.0,Rotten Tomatoes,
,,,,,,Dum Maaro Dum,50.0,43.0,Rotten Tomatoes,
,,,,,,Duma,93.0,80.0,Rotten Tomatoes,
,,,,,,Dumb and Dumber,68.0,84.0,Rotten Tomatoes,
,,,,,,Dumb and Dumber To,30.0,35.0,Rotten Tomatoes,
,,,,,,Dumb and Dumberer: When Harry Met Lloyd,10.0,23.0,Rotten Tomatoes,
,,,,,,Dumbo,98.0,70.0,Rotten Tomatoes,
,,,,,,Dumbo,46.0,48.0,Rotten Tomatoes,
,,,,,,Dumbstruck,72.0,78.0,Rotten Tomatoes,
,,,,,,Dummy,71.0,74.0,Rotten Tomatoes,
,,,,,,Dumplin',85.0,74.0,Rotten Tomatoes,
,,,,,,Dune,53.0,66.0,Rotten Tomatoes,
,,,,,,Dungeons & Dragons,10.0,19.0,Rotten Tomatoes,
Dunkirk,2017,"Action, Drama, History",78.0,94.0,IMDb,Dunkirk,92.0,81.0,Rotten Tomatoes,188373161.0
,,,,,,Dunston Checks In,12.0,40.0,Rotten Tomatoes,
,,,,,,Duplex,35.0,40.0,Rotten Tomatoes,
,,,,,,Duplicity,66.0,37.0,Rotten Tomatoes,
,,,,,,Dust,20.0,62.0,Rotten Tomatoes,
,,,,,,Dust Devil,29.0,60.0,Rotten Tomatoes,
,,,,,,Dust to Glory,60.0,91.0,Rotten Tomatoes,
,,,,,,Dying Breed,50.0,23.0,Rotten Tomatoes,
,,,,,,Dying Laughing,89.0,29.0,Rotten Tomatoes,
,,,,,,Dying of the Light,8.0,15.0,Rotten Tomatoes,
,,,,,,Dying To Know: Ram Dass & Timothy Leary,78.0,83.0,Rotten Tomatoes,
,,,,,,Dylan Dog: Dead of Night,7.0,29.0,Rotten Tomatoes,
,,,,,,Dynamite Warrior,67.0,35.0,Rotten Tomatoes,
,,,,,,Dysfunktional Family,43.0,77.0,Rotten Tomatoes,
Dà hóng denglong gaogao guà,1991,"Drama, History, Romance",81.0,79.0,IMDb,,,,,2603061.0
,,,,,,Dèmoni (Demons),60.0,65.0,Rotten Tomatoes,
,,,,,,Déjà Vu,56.0,73.0,Rotten Tomatoes,
,,,,,,E-Demon,33.0,78.0,Rotten Tomatoes,
E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",78.0,91.0,IMDb,E.T. The Extra-Terrestrial,98.0,72.0,Rotten Tomatoes,435110554.0
,,,,,,Eagle Eye,26.0,62.0,Rotten Tomatoes,
,,,,,,Eagle vs Shark,55.0,67.0,Rotten Tomatoes,
,,,,,,Eagles of Death Metal: Nos Amis (Our Friends),100.0,92.0,Rotten Tomatoes,
,,,,,,Eames: The Architect And The Painter,88.0,82.0,Rotten Tomatoes,
,,,,,,Early Man,80.0,49.0,Rotten Tomatoes,
,,,,,,Early Summer,100.0,93.0,Rotten Tomatoes,
,,,,,,Earth Days,82.0,59.0,Rotten Tomatoes,
,,,,,,Earth Girls Are Easy,68.0,42.0,Rotten Tomatoes,
,,,,,,Earth to Echo,50.0,47.0,Rotten Tomatoes,
,,,,,,Earth vs. the Flying Saucers,73.0,54.0,Rotten Tomatoes,
,,,,,,Earth: One Amazing Day,100.0,84.0,Rotten Tomatoes,
,,,,,,Earthquake,42.0,35.0,Rotten Tomatoes,
,,,,,,Earthquake Bird,50.0,54.0,Rotten Tomatoes,
,,,,,,Easier with Practice,88.0,70.0,Rotten Tomatoes,
,,,,,,East Is East,78.0,78.0,Rotten Tomatoes,
East of Eden,1955,Drama,79.0,72.0,IMDb,East of Eden,85.0,90.0,Rotten Tomatoes,23530892.0
,,,,,,East Palace West Palace (Dong gong xi gong) (Behind the Forbidden City),80.0,59.0,Rotten Tomatoes,
,,,,,,East Side Sushi,95.0,83.0,Rotten Tomatoes,
,,,,,,"East Side, West Side",33.0,74.0,Rotten Tomatoes,
,,,,,,East/West,65.0,88.0,Rotten Tomatoes,
,,,,,,"Easter Bunny, Kill! Kill!",100.0,63.0,Rotten Tomatoes,
,,,,,,Easter Parade,91.0,86.0,Rotten Tomatoes,
,,,,,,Eastern Boys,89.0,76.0,Rotten Tomatoes,
Eastern Promises,2007,"Action, Crime, Drama",76.0,82.0,IMDb,Eastern Promises,89.0,83.0,Rotten Tomatoes,17114882.0
,,,,,,Easy,59.0,48.0,Rotten Tomatoes,
,,,,,,Easy A,85.0,77.0,Rotten Tomatoes,
,,,,,,"Easy Come, Easy Go",43.0,37.0,Rotten Tomatoes,
,,,,,,Easy Does It,29.0,79.0,Rotten Tomatoes,
,,,,,,Easy Living,40.0,19.0,Rotten Tomatoes,
,,,,,,Easy Living,78.0,76.0,Rotten Tomatoes,
,,,,,,Easy Money,60.0,58.0,Rotten Tomatoes,
,,,,,,Easy Money: Hard to Kill,50.0,45.0,Rotten Tomatoes,
,,,,,,Easy Rider,83.0,82.0,Rotten Tomatoes,
,,,,,,Easy Virtue,52.0,47.0,Rotten Tomatoes,
,,,,,,Eat Drink Man Woman (Yin shi nan nu),88.0,92.0,Rotten Tomatoes,
,,,,,,Eat Pray Love,36.0,42.0,Rotten Tomatoes,
,,,,,,Eat That Question: Frank Zappa in His Own Words,92.0,73.0,Rotten Tomatoes,
,,,,,,Eat the Rich,43.0,81.0,Rotten Tomatoes,
,,,,,,Eaten Alive,35.0,30.0,Rotten Tomatoes,
,,,,,,Eating,75.0,40.0,Rotten Tomatoes,
,,,,,,Eating Animals,91.0,74.0,Rotten Tomatoes,
,,,,,,Eating Out,16.0,58.0,Rotten Tomatoes,
,,,,,,Eating Out 2: Sloppy Seconds,44.0,63.0,Rotten Tomatoes,
,,,,,,Eating Out: All You Can Eat,17.0,53.0,Rotten Tomatoes,
,,,,,,Eating Raoul,86.0,72.0,Rotten Tomatoes,
,,,,,,Eating Up Easter,86.0,63.0,Rotten Tomatoes,
,,,,,,Echelon Conspiracy,8.0,31.0,Rotten Tomatoes,
,,,,,,Echo In the Canyon,90.0,92.0,Rotten Tomatoes,
,,,,,,Echoes of Innocence,0.0,62.0,Rotten Tomatoes,
,,,,,,Echoes of War,31.0,44.0,Rotten Tomatoes,
,,,,,,Ecstasy,15.0,24.0,Rotten Tomatoes,
,,,,,,Ed,0.0,22.0,Rotten Tomatoes,
,,,,,,Ed Gein,10.0,40.0,Rotten Tomatoes,
Ed Wood,1994,"Biography, Comedy, Drama",78.0,70.0,IMDb,Ed Wood,92.0,88.0,Rotten Tomatoes,5887457.0
,,,,,,EDC 2013: Under the Electric Sky,53.0,66.0,Rotten Tomatoes,
,,,,,,Eddie Murphy Raw,81.0,85.0,Rotten Tomatoes,
,,,,,,Eddie Murphy: Delirious,83.0,63.0,Rotten Tomatoes,
,,,,,,Eddie The Eagle,82.0,82.0,Rotten Tomatoes,
,,,,,,Eddie The Sleepwalking Cannibal,61.0,52.0,Rotten Tomatoes,
,,,,,,Eden,50.0,59.0,Rotten Tomatoes,
,,,,,,Eden,85.0,68.0,Rotten Tomatoes,
,,,,,,Eden,83.0,57.0,Rotten Tomatoes,
,,,,,,Eden Lake,79.0,66.0,Rotten Tomatoes,
,,,,,,Eden Log,50.0,34.0,Rotten Tomatoes,
,,,,,,Edge of Darkness,55.0,49.0,Rotten Tomatoes,
,,,,,,Edge of Seventeen,78.0,73.0,Rotten Tomatoes,
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",79.0,71.0,IMDb,,,,,100206256.0
,,,,,,Edge of Winter,50.0,33.0,Rotten Tomatoes,
,,,,,,Edie,62.0,70.0,Rotten Tomatoes,
,,,,,,Edipo re (Oedipus Rex),88.0,77.0,Rotten Tomatoes,
,,,,,,Edison (Edison Force),13.0,36.0,Rotten Tomatoes,
,,,,,,Edmond,47.0,45.0,Rotten Tomatoes,
,,,,,,EDtv,64.0,30.0,Rotten Tomatoes,
,,,,,,Edward II,100.0,75.0,Rotten Tomatoes,
