movie_title_imdb,Released_Year,Genre,IMDB_Rating,Meta_score,platform_imdb,movie_title_rt,tomatometer_rating,audience_rating,platform_rt,Gross_imdb
,,,,,,20 Feet From Stardom,99.0,82.0,Rotten Tomatoes,
,,,,,,20 Million Miles to Earth,73.0,55.0,Rotten Tomatoes,
,,,,,,20 Weeks,60.0,20.0,Rotten Tomatoes,
,,,,,,"20,000 Days on Earth",95.0,78.0,Rotten Tomatoes,
,,,,,,"20,000 Leagues Under The Sea",89.0,74.0,Rotten Tomatoes,
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",83.0,84.0,IMDb,2001: A Space Odyssey,92.0,89.0,Rotten Tomatoes,56954992.0
,,,,,,2010,66.0,61.0,Rotten Tomatoes,
,,,,,,2012,39.0,47.0,Rotten Tomatoes,
,,,,,,2016: Obama's America,26.0,73.0,Rotten Tomatoes,
,,,,,,2050,67.0,63.0,Rotten Tomatoes,
,,,,,,20th Century Women,88.0,74.0,Rotten Tomatoes,
,,,,,,21,35.0,66.0,Rotten Tomatoes,
,,,,,,21 And Over,27.0,46.0,Rotten Tomatoes,
21 Grams,2003,"Crime, Drama, Thriller",76.0,70.0,IMDb,21 Grams,80.0,86.0,Rotten Tomatoes,16290476.0
,,,,,,21 Jump Street,84.0,82.0,Rotten Tomatoes,
,,,,,,21 Years: Richard Linklater,40.0,55.0,Rotten Tomatoes,
,,,,,,211,4.0,9.0,Rotten Tomatoes,
,,,,,,22 Bullets,46.0,55.0,Rotten Tomatoes,
,,,,,,22 July,80.0,70.0,Rotten Tomatoes,
,,,,,,22 Jump Street,85.0,77.0,Rotten Tomatoes,
,,,,,,24 City (Er shi si cheng ji),91.0,71.0,Rotten Tomatoes,
,,,,,,24 Days,79.0,60.0,Rotten Tomatoes,
,,,,,,24 Exposures,35.0,5.0,Rotten Tomatoes,
,,,,,,24 Hour Party People,86.0,87.0,Rotten Tomatoes,
,,,,,,24 Hours on Craigslist,50.0,40.0,Rotten Tomatoes,
,,,,,,24 Hours to Live,52.0,29.0,Rotten Tomatoes,
,,,,,,24: Redemption,80.0,67.0,Rotten Tomatoes,
25th Hour,2002,Drama,76.0,68.0,IMDb,25th Hour,78.0,85.0,Rotten Tomatoes,13060843.0
,,,,,,27 Dresses,41.0,57.0,Rotten Tomatoes,
,,,,,,28 Days,33.0,50.0,Rotten Tomatoes,
,,,,,,28 Days Later,87.0,85.0,Rotten Tomatoes,
28 Days Later...,2002,"Drama, Horror, Sci-Fi",76.0,73.0,IMDb,,,,,45064915.0
,,,,,,28 Hotel Rooms,47.0,38.0,Rotten Tomatoes,
,,,,,,28 Weeks Later...,71.0,66.0,Rotten Tomatoes,
,,,,,,29 Palms,0.0,37.0,Rotten Tomatoes,
,,,,,,2:22,22.0,38.0,Rotten Tomatoes,
,,,,,,2nd Date Sex,44.0,43.0,Rotten Tomatoes,
,,,,,,3 (Drei),47.0,55.0,Rotten Tomatoes,
,,,,,,3 Backyards,76.0,29.0,Rotten Tomatoes,
,,,,,,3 Days To Kill,27.0,43.0,Rotten Tomatoes,
,,,,,,3 from Hell,56.0,59.0,Rotten Tomatoes,
,,,,,,3 Generations,32.0,44.0,Rotten Tomatoes,
,,,,,,3 Hearts (3 coeurs),80.0,44.0,Rotten Tomatoes,
,,,,,,3 Holes and a Smoking Gun,40.0,70.0,Rotten Tomatoes,
3 Idiots,2009,"Comedy, Drama",84.0,67.0,IMDb,,,,,6532908.0
,,,,,,3 Nights In The Desert,40.0,65.0,Rotten Tomatoes,
,,,,,,3 Ninjas,32.0,53.0,Rotten Tomatoes,
,,,,,,3 Ninjas Kick Back,15.0,40.0,Rotten Tomatoes,
,,,,,,3 Ninjas: High Noon at Mega Mountain,0.0,29.0,Rotten Tomatoes,
,,,,,,3 Women,94.0,86.0,Rotten Tomatoes,
,,,,,,"3, 2, 1... Frankie Go Boom",45.0,41.0,Rotten Tomatoes,
,,,,,,3-4x juugatsu (Boiling Point),94.0,63.0,Rotten Tomatoes,
,,,,,,3-Iron,87.0,94.0,Rotten Tomatoes,
,,,,,,30 Beats,5.0,15.0,Rotten Tomatoes,
,,,,,,30 Days of Night,51.0,56.0,Rotten Tomatoes,
,,,,,,30 Days Of Night: Dark Days,17.0,14.0,Rotten Tomatoes,
,,,,,,30 Miles from Nowhere,80.0,36.0,Rotten Tomatoes,
,,,,,,30 Minutes or Less,45.0,40.0,Rotten Tomatoes,
,,,,,,30 Years to Life,67.0,67.0,Rotten Tomatoes,
300,2006,"Action, Drama",76.0,52.0,IMDb,300,61.0,89.0,Rotten Tomatoes,210614939.0
,,,,,,3000 Miles to Graceland,14.0,46.0,Rotten Tomatoes,
,,,,,,300: Rise of an Empire,45.0,51.0,Rotten Tomatoes,
,,,,,,31,47.0,35.0,Rotten Tomatoes,
,,,,,,31 North 62 East (Too Close to the Truth),8.0,29.0,Rotten Tomatoes,
,,,,,,33 Postcards,27.0,43.0,Rotten Tomatoes,
,,,,,,36 quai des orfevres,100.0,81.0,Rotten Tomatoes,
,,,,,,360,20.0,32.0,Rotten Tomatoes,
,,,,,,37 Seconds,88.0,86.0,Rotten Tomatoes,
,,,,,,372 le Matin (Betty Blue) (37.2 Degrees in the Morning),77.0,91.0,Rotten Tomatoes,
,,,,,,388 Arletta Avenue,56.0,23.0,Rotten Tomatoes,
3:10 to Yuma,2007,"Action, Crime, Drama",77.0,76.0,IMDb,3:10 to Yuma,96.0,79.0,Rotten Tomatoes,53606916.0
3:10 to Yuma,2007,"Action, Crime, Drama",77.0,76.0,IMDb,3:10 to Yuma,89.0,86.0,Rotten Tomatoes,53606916.0
,,,,,,4 (Chetyre),75.0,63.0,Rotten Tomatoes,
,,,,,,4 Days in France (Jours de France),90.0,48.0,Rotten Tomatoes,
,,,,,,4 Little Girls,100.0,89.0,Rotten Tomatoes,
"4 luni, 3 saptamâni si 2 zile",2007,Drama,79.0,97.0,IMDb,,,,,1185783.0
,,,,,,4 Minute Mile,29.0,44.0,Rotten Tomatoes,
,,,,,,"4 Months, 3 Weeks and 2 Days",96.0,86.0,Rotten Tomatoes,
,,,,,,4.3.2.1,37.0,42.0,Rotten Tomatoes,
,,,,,,4/20 Massacre,50.0,46.0,Rotten Tomatoes,
,,,,,,40 Days and 40 Nights,39.0,43.0,Rotten Tomatoes,
,,,,,,400 Days,22.0,41.0,Rotten Tomatoes,
,,,,,,42,80.0,85.0,Rotten Tomatoes,
,,,,,,42nd Street,96.0,74.0,Rotten Tomatoes,
,,,,,,44 Inch Chest,41.0,36.0,Rotten Tomatoes,
,,,,,,45 Years,97.0,67.0,Rotten Tomatoes,
,,,,,,47 Meters Down,53.0,36.0,Rotten Tomatoes,
,,,,,,47 Meters Down: Uncaged,45.0,68.0,Rotten Tomatoes,
,,,,,,47 Ronin,16.0,48.0,Rotten Tomatoes,
,,,,,,48 HRS,93.0,69.0,Rotten Tomatoes,
,,,,,,49th Parallel (The Invaders),92.0,75.0,Rotten Tomatoes,
,,,,,,4:44 Last Day on Earth,45.0,19.0,Rotten Tomatoes,
,,,,,,5 Broken Cameras,96.0,88.0,Rotten Tomatoes,
,,,,,,5 Children and It,63.0,42.0,Rotten Tomatoes,
,,,,,,5 Days Of War,34.0,36.0,Rotten Tomatoes,
,,,,,,5 Flights Up,46.0,43.0,Rotten Tomatoes,
,,,,,,5 to 7,70.0,71.0,Rotten Tomatoes,
,,,,,,50 First Dates,45.0,65.0,Rotten Tomatoes,
,,,,,,50 to 1,29.0,70.0,Rotten Tomatoes,
50/50,2011,"Comedy, Drama, Romance",76.0,72.0,IMDb,50/50,93.0,88.0,Rotten Tomatoes,35014192.0
,,,,,,500 Days of Summer,85.0,84.0,Rotten Tomatoes,
,,,,,,51 Birch Street,97.0,87.0,Rotten Tomatoes,
,,,,,,52 Tuesdays,89.0,65.0,Rotten Tomatoes,
,,,,,,54,17.0,43.0,Rotten Tomatoes,
,,,,,,55 Steps,50.0,85.0,Rotten Tomatoes,
,,,,,,56 Up,99.0,76.0,Rotten Tomatoes,
,,,,,,5B,100.0,97.0,Rotten Tomatoes,
,,,,,,6 Balloons,86.0,56.0,Rotten Tomatoes,
,,,,,,6 Below: Miracle On The Mountain,22.0,54.0,Rotten Tomatoes,
,,,,,,6 Month Rule,22.0,38.0,Rotten Tomatoes,
,,,,,,6 Souls,4.0,45.0,Rotten Tomatoes,
,,,,,,6 Underground,36.0,60.0,Rotten Tomatoes,
,,,,,,6 Ways To Die,40.0,25.0,Rotten Tomatoes,
,,,,,,6 Years,69.0,35.0,Rotten Tomatoes,
,,,,,,600 Miles,94.0,40.0,Rotten Tomatoes,
,,,,,,61*,85.0,90.0,Rotten Tomatoes,
,,,,,,68 Kill,70.0,54.0,Rotten Tomatoes,
,,,,,,6ixtynin9,94.0,80.0,Rotten Tomatoes,
,,,,,,7 Boxes,97.0,82.0,Rotten Tomatoes,
,,,,,,7 Chinese Brothers,77.0,44.0,Rotten Tomatoes,
,,,,,,7 Days (Les 7 jours du talion),80.0,68.0,Rotten Tomatoes,
,,,,,,7 Days in Entebbe,24.0,37.0,Rotten Tomatoes,
,,,,,,7 Days in September,100.0,80.0,Rotten Tomatoes,
,,,,,,7 Guardians of the Tomb,7.0,23.0,Rotten Tomatoes,
,,,,,,71,96.0,81.0,Rotten Tomatoes,
,,,,,,71 Fragmente einer Chronologie des Zufalls (71 Fragments of a Chronology of Chance),60.0,74.0,Rotten Tomatoes,
,,,,,,78/52: Hitchcock's Shower Scene,88.0,80.0,Rotten Tomatoes,
,,,,,,8 1/2,98.0,92.0,Rotten Tomatoes,
,,,,,,8 Heads in a Duffel Bag,11.0,34.0,Rotten Tomatoes,
